Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;Gelenk 6;;;;;;;;EE-FG (Basis-KS);;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;vx0;vy0;vz0;wx0;wy0;wz0
S6RRPRRP1;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP2;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP3;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;0;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP4;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP5;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP6;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP7;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;pi/2;a3;0;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP8;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;pi/2;a3;theta3;0;0;R;0;0;0;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP9;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;P;0;0;pi/2;a3;theta3;0;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP10;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;P;0;0;pi/2;a3;theta3;0;0;R;0;0;0;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP11;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;pi/2;a3;pi/2;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;0;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP12;R;0;0;0;0;0;d1;0;R;0;0;pi/2;a2;0;d2;0;P;0;0;pi/2;a3;pi/2;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;0;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP13;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;P;0;0;pi/2;a3;pi/2;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;0;a6;0;0;0;1;1;1;1;1;1
S6RRPRRP14;R;0;0;0;0;0;d1;0;R;0;0;alpha2;a2;0;d2;0;P;0;0;pi/2;a3;pi/2;0;0;R;0;0;pi/2;a4;0;d4;0;R;0;0;pi/2;a5;0;d5;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
